f5	x	y	descape240	rghasp240	rghsq	elksum240	elksq	slope240	slopesq	forest240	elev240	edgeden240	road240
1	511906.4802	4989809	0	0.9916128	0.9832959	3547.588	1.26E+07	24.73438	611.7893	64	2316.359	0	11.07813
1	512146.4802	4989809	0	1.043912	1.089752	4350.567	1.89E+07	20.21875	408.7979	64	2365.922	0	33.5
1	512386.4802	4989809	0	1.025471	1.051592	5166.173	2.67E+07	15.92188	253.5061	64	2346.031	0	35.5
1	512626.4802	4989809	0	0.9254984	0.8565472	5778.133	3.34E+07	12.01563	144.3752	64	2354.906	0	39.25
1	512866.4802	4989809	0	0.9059761	0.8207927	6051.837	3.66E+07	11.04688	122.0334	64	2356.578	0	54.60938
1	513106.4802	4989809	0	1.002984	1.005976	6156.743	3.79E+07	13.125	172.2656	64	2366.375	0	91.98438
1	513346.4802	4989809	6.287912	1.037996	1.077436	6782.715	4.60E+07	10.875	118.2656	51	2361.547	0.001542047	111.75
1	513586.4802	4989809	0	0.9439835	0.8911048	6764.127	4.58E+07	7.21875	52.11035	64	2341.438	0.002741249	104.4219
1	513826.4802	4989809	0.9375	1.060616	1.124907	5323.718	2.83E+07	14.48438	209.7971	62	2334.766	0.000161979	99.125
1	514066.4802	4989809	9.435464	1.214806	1.475753	1183.982	1.40E+06	35.60938	1268.028	33	2217.094	0.004504881	119.875
1	514306.4802	4989809	2.8125	1.077182	1.160321	2628.396	6.91E+06	19.03125	362.1885	58	2089.203	0.005002826	125.75
1	514546.4802	4989809	0.9375	1.095636	1.200418	2061.387	4.25E+06	15.9375	254.0039	62	2026.016	0.004572947	128.0781
1	514786.4802	4989809	0	1.035814	1.072911	1808.723	3.27E+06	16.79688	282.135	64	2001.281	0.006538277	96.29688
1	515026.4802	4989809	0.9375	0.9193606	0.845224	1536.282	2.36E+06	18.67188	348.6389	62	1959.234	0.005478049	90
1	515266.4802	4989809	20.38064	0.8373496	0.7011544	2169.497	4.71E+06	10.96875	120.3135	32	1915.25	0.007605871	96.375
